Districts Search Results,,,,,,,,,,,,,,,,
Mon May 09 2022 at 3:16:26 PM,,,,,,,,,,,,,,,,
"130 results exported. Export results are limited to 11,000 records.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type
5302940,WA-27402,Franklin Pierce School District,Pierce County,315 129TH ST S,TACOMA,WASHINGTON,98444,5099,(253)298-3000,8090,467.61,15,21,21-Suburb: Large,17.3,1-Regular local school district that is NOT a component of a supervisory union
5303210,WA-31332,Granite Falls School District,Snohomish County,205 N ALDER AVE,GRANITE FALLS,WASHINGTON,98252,    ,(360)691-7717,2168,112.44,6,31,31-Town: Fringe,19.28,1-Regular local school district that is NOT a component of a supervisory union
5303240,WA-23054,Grapeview School District,Mason County,822 E MASON BENSON RD,GRAPEVIEW,WASHINGTON,98546,9514,(360)275-4921,206,14.07,1,42,42-Rural: Distant,14.64,1-Regular local school district that is NOT a component of a supervisory union
5300326,WA-17935,Green River Community College,King County,12401 SE 320TH ST,AUBURN,WASHINGTON,98002,    ,(253)833-9111,0,0,0,13,13-City: Small,-1,8-Other education agencies
5303330,WA-34324,Griffin School District,Thurston County,6530 33rd Ave. NW,OLYMPIA,WASHINGTON,98502,    ,(360)866-5888,644,35.79,1,22,22-Suburb: Mid-size,17.99,1-Regular local school district that is NOT a component of a supervisory union
5303540,WA-17401,Highline School District,King County,15675 AMBAUM BLVD SW,BURIEN,WASHINGTON,98166,0100,(206)631-3000,19130,1014.19,41,21,21-Suburb: Large,18.86,1-Regular local school district that is NOT a component of a supervisory union
5303600,WA-23404,Hood Canal School District,Mason County,111 N STATE ROUTE 106,SHELTON,WASHINGTON,98584,9703,(360)877-5463,335,25.25,2,42,42-Rural: Distant,13.27,1-Regular local school district that is NOT a component of a supervisory union
5300345,WA-17911,Impact Public Schools,King County,3438 S 148th St,Tukwila,WASHINGTON,98168,    ,(206)712-7640,285,19.7,1,21,21-Suburb: Large,14.47,7-Independent Charter District
5303720,WA-31063,Index Elementary School District 63,Snohomish County,436 INDEX AVE,INDEX,WASHINGTON,98256,    ,(360)793-1330,32,3.35,1,42,42-Rural: Distant,9.55,1-Regular local school district that is NOT a component of a supervisory union
5303750,WA-17411,Issaquah School District,King County,5150 220th Ave SE,ISSAQUAH,WASHINGTON,98029,    ,(425)837-7000,21358,1119.41,28,21,21-Suburb: Large,19.08,1-Regular local school district that is NOT a component of a supervisory union
5303960,WA-17415,Kent School District,King County,12033 SE 256TH ST,KENT,WASHINGTON,98031,6643,(253)373-7000,27401,1396.13,44,12,12-City: Mid-size,19.63,1-Regular local school district that is NOT a component of a supervisory union
5304050,WA-19403,Kittitas School District,Kittitas County,505 N PIERCE ST,KITTITAS,WASHINGTON,98934,0599,(855)380-8844,676,40.99,4,42,42-Rural: Distant,16.49,1-Regular local school district that is NOT a component of a supervisory union
